No.	User	Edit count
1	Cydebot	4,534,846
2	WP 1.0 bot	4,264,761
3	SmackBot	3,734,324
4	Yobot	3,591,345
5	ClueBot NG	2,898,217
6	Addbot	2,839,543
7	SineBot	1,784,318
8	EmausBot	1,682,136
9	ClueBot	1,596,818
10	RjwilmsiBot	1,535,001
11	AnomieBOT	1,500,891
12	Xqbot	1,127,778
13	RussBot	1,092,170
14	Fbot	962,940
15	Luckas-bot	954,164
16	BetacommandBot	931,490
17	The Anomebot2	844,989
18	COIBot	809,930
19	Lightbot	791,863
20	AlexNewArtBot	778,467
21	ZéroBot	727,242
22	Helpful Pixie Bot	708,181
23	OrphanBot	654,820
24	BattyBot	625,106
25	FrescoBot	605,306
26	MiszaBot III	601,878
27	Legobot	594,039
28	SporkBot	572,123
29	TXiKiBoT	567,806
30	XLinkBot	518,886
31	VeblenBot	517,707
32	AvicBot	510,282
33	AAlertBot	510,145
34	ListasBot	482,720
35	Thijs!bot	474,046
36	VolkovBot	450,148
37	Kingbotk	447,274
38	Erik9bot	439,480
39	Alaibot	434,501
40	SieBot	421,891
41	TedderBot	408,011
42	CommonsDelinker	401,295
43	BOTijo	398,365
44	Xenobot Mk V	393,887
45	D6	393,081
46	ClueBot III	389,104
47	BG19bot	377,749
48	EdwardsBot	360,723
49	Bluebot	349,597
50	Mathbot	341,393
51	CmdrObot	337,914
52	DASHBot	329,822
53	Full-date unlinking bot	324,022
54	BotMultichill	296,310
55	Citation bot	279,182
56	YurikBot	278,165
57	VoABot II	274,019
58	ImageRemovalBot	272,966
59	BJBot	271,036
60	MiszaBot II	261,898
61	Eubot	259,670
62	ArthurBot	259,346
63	AntiVandalBot	258,750
64	HasteurBot	257,635
65	HBC AIV helperbot7	255,963
66	VIAFbot	254,678
67	MiszaBot I	236,198
68	Escarbot	236,152
69	SoxBot	235,195
70	Cyberbot I	233,067
71	MetsBot	230,558
72	DeltaQuadBot	225,976
73	DPL bot	224,715
74	FlaBot	222,981
75	RFC bot	219,171
76	DumZiBoT	212,289
77	Polbot	208,184
78	STBotI	199,275
79	Xenobot	197,501
80	Alexbot	196,238
81	KrimpBot	194,116
82	MartinBot	190,136
83	Kbdankbot	184,258
84	ImageTaggingBot	180,385
85	Femto Bot	179,804
86	MGA73bot	179,070
87	MystBot	177,678
88	YFdyh-bot	170,978
89	CorenSearchBot	167,992
90	Chobot	166,315
91	HBC Archive Indexerbot	165,418
92	ProteinBoxBot	159,824
93	Kumi-Taskbot	158,176
94	Kotbot	157,583
95	JAnDbot	156,672
96	Monkbot	152,850
97	DrilBot	152,046
98	GrouchoBot	147,818
99	DumbBOT	144,834
100	Zorrobot	144,725
101	WikitanvirBot	144,519
102	FairuseBot	143,798
103	WildBot	142,891
104	HBC AIV helperbot3	140,330
105	Rambot	139,851
106	RedBot	137,831
107	タチコマ robot	137,789
108	NoomBot	137,210
109	MartinBotIII	136,346
110	DodoBot	136,137
111	TinucherianBot	134,614
112	H3llBot	134,512
113	CheMoBot	132,978
114	Tawkerbot2	131,306
115	Citation bot 1	129,612
116	ShepBot	128,863
117	Reedy Bot	128,309
118	GA bot	127,721
119	InceptionBot	126,542
120	Detroiterbot	126,164
121	LaaknorBot	125,054
122	SkiersBot	124,334
123	Chris G Bot 3	123,892
124	LaraBot	123,283
125	Lowercase sigmabot III	121,853
126	SatyrBot	121,099
127	Ganeshbot	119,400
128	HBC AIV helperbot5	115,809
129	DYKUpdateBot	115,684
130	Svenbot	114,365
131	BryanBot	113,819
132	BracketBot	112,462
133	Tawkerbot	110,234
134	Pearle	109,696
135	Hmainsbot1	107,092
136	PseudoBot	106,520
137	JL-Bot	106,316
138	DarknessBot	106,029
139	ChuispastonBot	104,541
140	OKBot	103,883
141	Makecat-bot	103,747
142	LucienBOT	103,060
143	Alphachimpbot	100,435
144	718 Bot	99,574
145	Snotbot	99,092
146	Scsbot	97,222
147	KLBot2	96,688
148	HagermanBot	95,722
149	Numbo3-bot	95,649
150	28bot	95,405
151	AlleborgoBot	94,853
152	Robbot	94,602
153	EarwigBot	93,591
154	HostBot	93,034
155	Rei-bot	92,903
156	Hazard-Bot	90,649
157	DFBot	89,742
